section,avg_parking_time
海德一道(后海湾段),5583
中心路(后海湾段),4472
高新南七道,4256
创业路(后海湾段),4218
创业路(南油段),4091
文心一路,4064
文心六路,4012
后海大道辅道(蛇口北段),4003
创业路辅道,3936
海德二道,3927
海德一道,3860
高新南九道,3843
龙城路,3814
文心二路,3744
后海大道辅道(后海段),3731
科技南一路,3727
海德三道,3696
南头街,3638
金世纪路,3613
华明路,3611
四海路,3562
文心三路,3551
科技南十二路,3449
荔园路(蛇口东段),3442
海月路(东段),3370
高新南十道,3362
南新路,3361
高新南环路,3355
高新南五道,3333
荔园路(蛇口西段),3300
高新南十一道,3278
登良路,3171
高新南四道,3145
海德二道（南油段）,3123
文心五路,3059
工业九路,3014
学府路(前海段),2957
招商路(蛇口西段),2956
文心四路,2895
科技南十路,2876
科技南路,2870
高新南三道,2682
常兴路,2440
